"Version","Task","Concept","Att 1 - Preis","Att 2 - Verpflegung","Att 3 - Zimmerkategorie","Att 4 - Kundenbewertung","Att 5 - Meerblick"
1,1,1,1,2,1,3,1
1,1,2,2,3,2,2,3
1,1,3,3,1,3,1,2
2,1,1,3,2,1,2,3
2,1,2,2,1,3,3,1
2,1,3,1,3,2,1,2
3,1,1,2,2,3,1,3
3,1,2,3,3,1,3,2
3,1,3,1,1,2,2,1
4,1,1,1,1,1,1,3
4,1,2,2,2,2,3,2
4,1,3,3,3,3,2,1
5,1,1,3,1,2,3,3
5,1,2,1,2,3,2,2
5,1,3,2,3,1,1,1
6,1,1,2,1,1,2,2
6,1,2,3,2,2,1,1
6,1,3,1,3,3,3,3
7,1,1,1,1,3,2,3
7,1,2,2,2,2,3,1
7,1,3,3,3,1,1,2
8,1,1,1,2,2,2,2
8,1,2,2,3,1,3,3
8,1,3,3,1,3,1,1
9,1,1,1,3,2,1,1
9,1,2,3,2,1,2,3
9,1,3,2,1,3,3,2
10,1,1,2,3,3,2,1
10,1,2,1,2,1,1,2
10,1,3,3,1,2,3,3
11,1,1,1,1,1,3,1
11,1,2,3,3,2,2,2
11,1,3,2,2,3,1,3
12,1,1,3,2,1,2,1
12,1,2,1,3,3,3,3
12,1,3,2,1,2,1,2
13,1,1,3,2,3,3,2
13,1,2,1,3,2,1,1
13,1,3,2,1,1,2,3
14,1,1,3,1,1,3,1
14,1,2,2,2,2,1,3
14,1,3,1,3,3,2,2
15,1,1,3,3,3,1,3
15,1,2,1,2,1,3,2
15,1,3,2,1,2,2,1
16,1,1,2,1,1,1,2
16,1,2,3,3,2,3,3
16,1,3,1,2,3,2,1
17,1,1,3,2,2,2,2
17,1,2,2,3,3,3,1
17,1,3,1,1,1,1,3
18,1,1,2,3,1,2,2
18,1,2,3,2,3,1,1
18,1,3,1,1,2,3,3
19,1,1,1,3,2,1,3
19,1,2,3,1,3,2,2
19,1,3,2,2,1,3,1
20,1,1,1,1,3,3,2
20,1,2,3,3,1,2,3
20,1,3,2,2,2,1,1
21,1,1,3,3,2,3,2
21,1,2,2,2,3,2,3
21,1,3,1,1,1,1,1
22,1,1,3,1,2,2,1
22,1,2,2,3,3,1,2
22,1,3,1,2,1,3,3
23,1,1,3,1,3,1,3
23,1,2,1,3,1,2,1
23,1,3,2,2,2,3,2
24,1,1,1,2,3,1,2
24,1,2,2,1,2,2,3
24,1,3,3,3,1,3,1
25,1,1,1,1,2,2,2
25,1,2,3,2,1,1,3
25,1,3,2,3,3,3,1
26,1,1,3,3,2,3,3
26,1,2,2,1,1,1,2
26,1,3,1,2,3,2,1
27,1,1,1,2,2,1,1
27,1,2,2,3,1,2,3
27,1,3,3,1,3,3,2
28,1,1,2,3,1,1,2
28,1,2,3,1,2,2,1
28,1,3,1,2,3,3,3
29,1,1,1,3,2,3,1
29,1,2,3,2,1,2,2
29,1,3,2,1,3,1,3
30,1,1,1,1,1,3,2
30,1,2,3,3,3,1,1
30,1,3,2,2,2,2,3
31,1,1,2,1,1,3,1
31,1,2,3,2,2,1,2
31,1,3,1,3,3,2,3
32,1,1,3,2,1,3,1
32,1,2,2,3,3,2,2
32,1,3,1,1,2,1,3
33,1,1,1,3,2,3,2
33,1,2,3,1,3,1,1
33,1,3,2,2,1,2,3
34,1,1,2,3,2,1,2
34,1,2,1,1,1,2,1
34,1,3,3,2,3,3,3
35,1,1,1,3,1,1,3
35,1,2,2,2,3,3,1
35,1,3,3,1,2,2,2
36,1,1,3,3,1,1,1
36,1,2,2,1,2,3,3
36,1,3,1,2,3,2,2
